D & B Used Cars|111 Old Benbrook Rd|817-555-5555
49213|2018|Toyota|Camry|Sedan|Blue|54213|16950.0
59122|2020|Honda|Civic|Sedan|White|23100|18500.0
78215|2016|Chevrolet|Silverado|Truck|Black|86544|21995.0
93125|2015|Jeep|Wrangler|SUV|Green|99875|22500.0
12876|2021|Tesla|Model 3|Sedan|Gray|15200|34990.0
36792|2017|Subaru|Outback|Wagon|Brown|64500|18995.0
58971|2013|Dodge|Charger|Sedan|Black|120345|15500.0
69315|2018|Chevrolet|Equinox|SUV|Blue|45500|19950.0
71542|2019|Ford|Escape|SUV|Red|38200|20500.0
82457|2020|Kia|Soul|Hatchback|Green|27500|17995.0
93712|2017|Mazda|CX-5|SUV|Gray|58900|20990.0
10538|2015|Volkswagen|Jetta|Sedan|White|88400|12995.0
12735|2016|Honda|CR-V|SUV|Blue|71250|18900.0
13841|2021|Ford|Mustang|Coupe|Yellow|18300|35990.0
14992|2018|GMC|Sierra|Truck|Red|50450|27900.0
